0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2015-01-01,4428.37,4512.8,4478.82,4353.54,4436.09,4701.69,5495.7,5482.24,5432.58,5748.89,5964.23,5571.07,4988.32,5129.44,5387.02,5710.65,7053.84,8259.08,6937.43,6185.2,5825.56,5122.49,4747.21,4332.09
2015-01-02,4097.73,4148.15,4150.85,4146.35,4291.7,5114.23,5679.68,6524.47,6521.59,6769.55,7312.84,6373.33,5812.72,6320.61,6547.71,7035.34,8056.63,9167.76,7785.56,7161.01,6961.65,6142.17,5196.5,4986.57
2015-01-05,4812.21,4637.25,4854.99,4773.11,4868.24,5820.14,6658.21,7059.79,7297.21,7466.24,8224.48,7019.0,6297.24,6971.03,7464.49,7900.92,9192.27,10097.07,8639.95,7765.44,7254.1,6612.87,6014.93,5266.92
2015-01-06,5181.82,5006.26,5027.68,5145.83,5123.8,6034.26,6597.07,7063.52,7290.83,7151.12,7758.07,6753.75,6641.0,7010.5,7191.84,7779.75,9195.39,9738.82,8223.17,7689.99,7264.19,6550.5,6121.52,5550.36
2015-01-07,5324.12,5312.87,5235.43,5273.76,5043.38,5948.04,6594.95,7438.66,7333.99,7489.41,7853.27,6613.5,6455.04,7037.13,7189.25,7772.22,9097.7,9703.2,8273.51,7277.66,7073.35,6491.35,5843.1,5394.28
2015-01-08,5382.65,5311.47,5305.84,5214.88,5278.55,6184.2,6889.67,7263.17,7499.09,7678.3,8208.71,6970.04,6530.79,7132.48,7534.28,7921.02,9195.19,9679.9,8504.36,7703.94,7227.22,6440.0,6128.77,5462.32
2015-01-09,5403.24,5235.43,5254.15,5192.26,5321.01,6055.35,6965.03,7371.28,7575.94,7662.48,8160.07,7173.4,6701.84,7173.62,7289.19,7816.66,9416.7,9658.59,7654.37,7640.47,7196.17,6417.98,5802.11,5334.25
2015-01-12,4513.65,4410.61,4306.93,4394.03,4521.11,5317.77,6599.11,6786.48,7180.25,7309.58,7921.5,6960.8,6468.47,6921.03,7061.24,7309.23,8318.39,9747.18,8681.55,7783.32,7285.94,6247.43,5669.52,5140.19
2015-01-13,5351.58,5279.71,5240.87,5337.95,5368.07,6344.78,7130.31,7223.66,7453.31,7492.22,8218.69,7272.08,6859.06,7214.13,7281.68,7363.75,8431.62,9843.16,8674.81,7799.28,7440.74,6733.55,6132.7,5404.64
2015-01-14,5354.06,5275.47,5178.54,5271.39,5430.0,6414.47,7092.63,7051.59,7252.72,7447.86,8052.53,6991.61,6996.1,7363.25,7307.09,7650.01,8762.33,9895.31,8823.06,8033.85,7881.6,6621.5,6189.06,5675.01
2015-01-15,5402.06,5304.71,5285.54,5242.77,5448.95,6124.22,7085.78,7225.87,7503.84,7470.27,8099.85,7059.13,6668.46,7256.28,7395.57,7629.08,8512.31,9703.21,8623.39,7982.73,7556.22,6819.73,5987.81,5620.78
2015-01-16,5323.06,5147.89,5222.84,5192.41,5285.47,6198.81,7210.22,7100.04,7236.98,7449.62,8064.6,6894.35,6688.72,7136.09,7280.7,7538.35,8388.32,9849.78,8475.74,7975.53,7391.05,6808.5,6148.33,5526.02
2015-01-19,4785.75,4760.54,4675.81,4686.7,4947.49,6036.18,6778.67,6859.24,7109.22,7363.39,8021.38,6772.47,6682.17,7009.89,7036.49,7674.37,8486.43,9762.79,8608.72,8227.05,7381.79,6554.89,6068.41,5328.64
2015-01-20,5431.71,5403.16,5427.42,5238.46,5325.02,6408.63,7004.53,7215.97,7411.59,7534.61,8324.25,6998.27,6531.96,7096.51,7513.44,7660.42,8813.01,9943.32,8944.58,7868.44,7517.11,6557.5,5951.15,5568.96
2015-01-21,5297.68,5265.11,5305.89,5200.33,5234.99,6008.63,7008.82,7326.89,7536.18,7627.88,7853.75,7092.16,6723.79,7285.94,7588.65,7908.16,8937.84,10186.91,8708.56,8053.63,7642.3,6624.02,6166.48,5522.18
2015-01-22,5680.62,5354.11,5423.17,5440.02,5516.18,6434.69,7401.61,7294.18,7523.69,7426.18,8162.58,7133.13,6853.51,7294.68,7537.45,7665.89,8640.44,9628.98,8903.49,8193.61,7641.36,6679.93,6159.41,5655.27
2015-01-23,5383.89,5355.21,5300.59,5330.98,5402.15,6572.69,7128.35,7384.54,7613.9,7669.59,8291.37,7205.57,6820.18,7364.09,7542.09,7961.72,9135.03,9762.4,8776.46,8047.25,7646.73,6873.16,6243.54,6088.41
